936 376 254
540 58 347
312 729 82
278 782 121
816 133 199
515 66 648
771 799 570
691 306 824
918 175 713
44 934 754
526 446 366
278 874 620
401 257 410
425 535 667
295 101 680
102 744 459
444 587 645
226 75 383
866 279 358
429 37 92
716 720 952
728 974 423
848 0 959
215 259 352
805 979 340
674 434 977
420 140 498
843 342 634
119 243 497
980 27 995
205 658 880
878 666 690
40 389 19
963 913 836
60 80 688
302 915 138
369 653 28
707 903 507
382 872 391
496 690 990
76 169 701
320 228 679
661 393 212
294 380 114
921 682 96
322 22 246
469 147 981
66 254 359
914 960 456
53 684 627
124 686 976
162 67 78
546 630 498
645 819 725
187 25 97
793 349 146
498 917 485
751 655 720
384 729 528
555 959 538
651 418 155
948 84 273
512 917 22
846 463 638
884 343 331
617 901 381
264 152 714
877 100 694
169 582 271
429 707 892
190 732 23
578 159 930
974 717 264
335 860 208
803 754 329
984 54 754
620 40 121
392 560 904
261 212 488
40 703 674
321 226 45
82 785 140
389 117 402
191 863 154
479 700 755
275 646 785
585 656 571
46 664 596
94 810 38
354 451 833
174 645 33
450 483 258
947 93 439
851 220 783
943 621 24
505 191 816
697 772 705
83 650 145
936 756 514
298 553 358
641 355 710
489 893 980
94 989 387
754 626 308
513 408 953
880 137 636
324 402 60
604 535 133
158 816 33
904 866 30
114 99 555
311 825 241
120 194 575
810 314 495
760 112 172
409 647 57
935 725 600
526 582 44
408 147 222
717 502 281
224 167 597
758 59 566
22 898 71
879 244 214
73 851 534
739 276 948
864 547 185
744 342 455
24 666 541
717 245 781
96 829 595
154 130 613
116 329 227
894 270 833
972 48 564
834 365 437
33 651 834
853 817 291
28 139 3
819 744 674
914 681 383
749 183 122
464 521 974
613 175 227
311 545 857
786 732 670
466 194 90
60 265 168
295 637 625
844 516 269
259 73 526
985 152 538
256 796 754
673 58 706
393 477 894
866 178 938
983 467 439
418 730 775
681 863 727
776 778 268
209 540 38
814 951 63
868 782 994
144 536 50
31 89 746
362 142 928
339 790 700
74 930 631
295 222 790
479 177 469
659 437 484
62 339 358
785 600 566
455 972 841
887 0 176
488 20 633
573 367 147
514 13 519
115 620 860
891 889 160
617 560 348
980 902 362
861 462 962
477 456 224
244 695 658
500 176 749
666 546 817
324 601 669
193 269 517
661 712 380
472 914 413
450 700 442
656 491 180
218 988 165
58 408 595
369 377 553
953 215 698
273 524 883
438 475 121
987 944 659
433 249 289
534 831 967
924 406 87
923 545 609
992 713 954
111 942 982
871 859 827
871 398 244
417 1 497
212 708 307
223 760 981
292 799 568
193 423 14
965 571 712
754 836 778
422 604 697
154 13 461
358 934 960
654 677 349
341 4 658
378 678 74
194 184 476
832 197 335
630 351 248
636 715 404
336 618 180
276 559 701
619 19 979
66 882 287
666 693 789
419 470 974
926 235 254
675 498 112
869 125 284
835 879 773
364 553 529
937 563 250
192 558 603
714 177 301
903 601 196
979 0 194
2 537 185
37 311 133
293 810 221
725 244 235
287 25 992
848 931 561
41 822 266
31 669 988
29 141 818
247 199 685
302 199 846
743 633 36
142 27 441
889 599 581
396 864 637
109 866 589
142 219 907
412 874 479
804 83 370
715 366 167
222 188 849
594 988 802
58 39 199
609 922 836
138 560 460
859 96 664
981 912 673
447 996 216
642 832 577
110 670 218
873 171 152
177 466 776
53 934 597
710 141 553
867 90 150
548 838 933
648 221 101
723 808 605
564 48 996
600 342 876
416 646 303
699 167 25
446 620 694
1 745 799
458 178 658
166 475 712
334 374 968
201 499 464
698 455 472
491 23 426
598 679 514
834 850 616
991 243 58
350 812 23
664 892 231
442 417 232
686 154 738
657 969 639
654 718 924
921 488 218
711 983 389
114 568 870
178 732 927
863 147 327
640 176 420
493 86 857
462 966 932
343 46 833
510 268 143
934 454 897
638 996 72
803 538 594
66 34 167
273 790 638
420 828 600
205 854 8
982 418 580
513 271 627
759 159 325
642 924 308
950 511 707
738 729 515
246 109 671
88 426 868
759 705 153
189 75 993
679 857 666
285 47 855
938 741 840
169 611 496
713 344 489
66 259 472
181 196 425
983 876 114
115 514 919
959 923 126
418 724 730
938 541 556
556 398 409
526 854 194
832 737 47
620 466 359
177 546 593
157 347 599
876 308 347
778 305 390
456 251 366
45 76 102
829 644 945
64 140 892
716 62 759
800 621 349
676 205 687
202 220 20
940 987 728
749 959 466
179 135 719
746 810 817
429 784 609
462 501 21
235 819 610
739 469 114
255 75 478
39 13 197
774 995 131
460 442 553
481 706 332
924 513 644
879 106 340
457 271 403
8 709 949
742 475 240
323 877 28
389 83 472
388 559 436
221 614 806
761 556 848
684 72 805
352 613 485
58 623 561
675 534 128
273 36 977
168 285 57
156 4 715
614 114 761
914 749 636
623 396 838
72 585 807
485 134 319
550 366 583
720 620 922
333 230 286
62 426 83
487 437 994
915 753 489
369 797 81
177 383 379
736 81 245
253 518 908
151 529 765
382 187 807
252 762 92
532 299 759
868 914 648
112 689 900
448 596 581
329 381 551
943 307 901
880 405 236
323 79 481
550 267 153
959 139 611
52 79 373
174 166 530
236 565 760
901 994 653
640 478 689
48 364 846
657 472 486
539 783 35
681 594 848
861 59 393
36 488 598
838 145 328
678 752 52
772 979 987
297 133 442
912 399 557
351 271 168
149 610 121
617 159 657
707 207 638
818 7 969
286 157 70
432 376 361
768 631 913
518 561 912
397 489 260
969 466 35
428 774 174
715 536 362
809 319 639
99 515 2
816 388 156
86 501 911
916 238 271
989 837 103
612 842 522
536 822 188
619 250 602
478 835 814
814 337 109
564 745 416
46 728 551
486 514 352
625 666 212
141 445 342
502 445 37
667 757 455
330 129 63
608 499 34
679 210 394
624 954 865
366 878 960
982 622 143
59 840 583
410 509 978
166 549 255
907 557 608
222 293 524
965 329 554
768 26 575
399 637 848
341 827 593
90 290 819
691 526 517
727 332 704
214 482 589
324 265 322
406 788 642
385 214 6
481 616 988
223 688 383
851 364 780
719 287 701
714 62 330
293 466 277
142 727 935
937 738 720
709 926 943
41 310 877
230 732 72
401 129 744
274 639 373
480 873 13
18 499 52
290 797 427
217 842 103
573 940 224
573 876 550
676 453 309
70 634 165
679 946 419
295 255 597
825 495 454
468 750 644
991 705 681
110 444 706
72 460 888
580 366 935
498 174 945
242 776 981
279 776 397
86 525 503
456 932 936
410 161 972
864 39 212
744 529 467
58 231 332
960 298 783
683 887 469
69 448 709
809 636 553
357 894 878
632 892 901
806 871 519
234 767 894
46 422 94
509 212 532
846 228 357
610 241 787
846 661 800
621 410 999
342 247 389
787 108 979
321 158 389
441 592 703
208 178 941
459 631 207
182 734 187
600 946 264
868 735 447
350 992 859
815 40 267
740 19 381
769 682 755
750 184 783
975 315 518
803 489 56
763 675 42
355 647 729
267 648 139
796 693 512
194 41 105
627 980 796
58 719 794
671 758 430
442 467 938
99 566 276
644 24 613
555 420 303
12 43 478
495 445 774
255 657 330
998 293 393
752 880 406
451 602 722
295 667 312
857 270 64
460 593 459
127 759 920
212 318 739
495 581 5
705 476 80
995 748 585
280 869 843
534 31 252
208 633 913
28 805 531
317 793 119
935 556 240
959 853 966
612 383 553
16 851 564
551 390 264
531 856 816
523 35 142
506 193 354
840 898 948
732 614 641
791 26 313
387 69 624
425 316 311
714 469 606
205 431 940
218 475 270
295 773 361
979 201 780
457 169 507
132 252 438
947 179 643
10 403 685
669 206 916
494 119 51
608 31 273
617 210 615
39 734 453
912 668 252
825 287 676
653 934 160
347 129 215
23 583 306
818 648 588
223 289 341
760 368 720
70 88 329
164 159 528
677 832 571
437 240 582
130 641 959
251 127 50
346 222 94
738 431 591
167 758 639
538 298 335
244 534 321
667 899 489
597 878 652
123 316 156
458 222 263
145 348 544
660 509 397
595 650 304
560 892 523
681 955 970
182 97 450
131 470 36
609 434 870
960 38 101
374 888 309
316 757 142
586 443 763
872 117 21
826 176 477
425 464 998
86 901 443
242 816 695
285 957 151
706 169 944
775 559 519
725 120 146
496 732 76
357 100 674
